epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2379.2,0.79439,0.58603,1.26819,0.90417,0.86751,0.92663,0.66895,0.92596,0.63288,1.31789,0.000181703,0.000181703,0.000181703
92,2404.79,0.77107,0.54984,1.24919,0.90266,0.8784,0.93285,0.6782,0.91173,0.61331,1.30528,0.0001652,0.0001652,0.0001652
93,2430.02,0.75962,0.53642,1.2394,0.90418,0.87378,0.9333,0.68518,0.91593,0.60366,1.31061,0.000148696,0.000148696,0.000148696
94,2455.18,0.75595,0.5365,1.23371,0.90173,0.87702,0.93657,0.68707,0.90966,0.59232,1.30584,0.000132193,0.000132193,0.000132193
95,2480.44,0.73554,0.51861,1.21589,0.90316,0.87324,0.93048,0.68372,0.91233,0.59546,1.30631,0.00011569,0.00011569,0.00011569
96,2505.58,0.73151,0.51111,1.21506,0.92526,0.86833,0.93292,0.68652,0.90466,0.58824,1.30482,9.91865e-05,9.91865e-05,9.91865e-05
97,2530.79,0.72637,0.5055,1.21296,0.91484,0.87225,0.93567,0.68823,0.90371,0.59051,1.30267,8.26832e-05,8.26832e-05,8.26832e-05
98,2555.83,0.72116,0.5003,1.20097,0.91721,0.87471,0.93672,0.69124,0.90206,0.5891,1.30176,6.61799e-05,6.61799e-05,6.61799e-05
99,2580.96,0.71971,0.49774,1.20608,0.92604,0.87604,0.93908,0.69371,0.89871,0.58352,1.30273,4.96766e-05,4.96766e-05,4.96766e-05
100,2606.15,0.71931,0.49476,1.2043,0.92597,0.87706,0.9378,0.69474,0.89287,0.58323,1.297,3.31733e-05,3.31733e-05,3.31733e-05
